transcript_hebrew,intent
 היי סירי את יכולה להוסיף לי פגישה ביומן בחמישי לחמישי בשעה חמש וחצי תור לרופא,calendar_set
סירי תרשמי לי בלוח שנה פגישה בחמישי לחמישי בשעה חמש וחצי תור לרופא,calendar_set
תרשמי ביומן בלוח שנה בחמישי לחמישי עשרים וחמש תור לרופא בשעה חמש וחצי,calendar_set
סירי תרשמי לי פגישה ביומן בחמישי לחמישי עשרים וחמש בשעה חמש וחצי תור לרופא,calendar_set
 היי סירי את יכולה לרשום לי ביומן פגישה בחמישי למאי 25 בשעה חמש וחצי  תור לרופא,calendar_set
תתקשרי בבקשה לקורל יגוד,call_contact
סירי תביא לי את נעמה לדבר עם נעמה,call_contact
תתקשרי אותי לקורל,call_contact
 אני רוצה לעשות סלפי,camera_query
תפתחי לי את המצלמה עם מצלמה קדמית,camera_query
תהפכי את המצלמה למצלמה קדמית,camera_query
תסובבי לי את המצלמה,camera_query
תפתחי את המצלמה עם מצלמה קדמית,camera_query
תפתחי את המצלמה הקדמית,camera_query
אני רוצה לצלם תמונת סלפי,camera_query
סירי תפתח לי את המצלמה שאני אוכל לצלם סלפי,camera_query
סירי תפתח לי את המצלמה הקדמית,camera_query
היי סירי אני רוצה לצלם סלפי,camera_query
סירי אני רוצה לצלם סלפי עם המצלמה הקדמית,camera_query
היי סירי אני רוצה לצלם סלפי,camera_query
כי אני רוצה  להפעיל מצב טיסה,iot_wemo_on
אני רוצה לכתוב פתק חדש ובו רשימה של עטים ומחברות,lists_createoradd
אני רוצה שתכתבי פתק  ובו רשימה שכתוב עטים מחברות,lists_createoradd
סירי תעשה לי רשימה של קניות של חלב ביצים ודגים,lists_createoradd
סירי תעשה לי בפתקים רשימת קניות של חלב ביצים ודגים,lists_createoradd
סירי תצרי רשימת קניות שיהיה בחלב  ביצים ודגים,lists_createoradd
היי סירי תיצרי לי רשימת קניות ששם יהיה ביצים חלב ודגים,lists_createoradd
תשלחי לסתיו ברק אסאםאס מה שלומך,send_message
תשלחי הודעה דרך המסנגר לסתיו ברק מה שלומך,send_message
 את יכולה לבדוק לי מתי הרכבת הבאה לחיפה מבאר שבע,transport_query
תפתחי גוגל מאפס ותכווני אותי להרצל 45 באר שבע,transport_query
אני רוצה שתפתחי גוגל מאפס ותביאי לי מסלול רגלי להרצל 45 באר שבע,transport_query
תפתחי גוגל מאפס ותנווטי אותי לרחוב הרצל 45 באר שבע רגלית,transport_query
אני רוצה להגיע לרחוב הרצל 45 באר שבע ברגל,transport_query
תשתמשי באפליקציות מפות כדי לנווט להרצל 45 באר שבע ברגל,transport_query
אני רוצה לנווט לרחוב הרצל 45 באר שבע,transport_query
אני רוצה לנווט ברגל לרחוב הרצל 45 באר שבע,transport_query
אני רוצה לנווט לרחוב הרצל 45 באר שבע ברגל,transport_query
מתי האוטובוס הקרוב ביותר מבאר שבע לתל אביב,transport_query
אני רוצה להגיע לתל אביב באוטובוס עכשיו,transport_query
אני רוצה להגיע עכשיו לתל אביב עם אוטובוס תביאי לי מסלול  ,transport_query
סירי תפתחי לי במפות את הדרך להרצל 45 לבאר שבע ברגל,transport_query
אני רוצה להגיע לאלי כהן 15 בניצן אם תוכלי להסביר לי ולהגיד לי איך,transport_query
אני רוצה להגיע לאלי כהן 15 בניצן ואני לא יודעת איך להגיע אז תגידי לי בבקשה איך,transport_query
אני רוצה להגיע לניצן 15 אלי כהן אולי תוכלי לעזור לי,transport_query
אני רוצה להגיע לאלי כהן 15 תוכלי לעזור לי,transport_query
אני רוצה להגיע לאלי כהן 15 אתה האם תוכלי לעזור לי,transport_query
אני רוצה לדעת אם בתל אביב ירד גשם ועד שאני צריכה להגיע לשם אם כן אני לא נוסעת,weather_query
